,Colorectal cancer,West nile virus infection,Lung cancer,Cerebral cavernous malformations,Thyroid cancer,Esophageal cancer,Alzheimer disease,Rheumatoid arthritis,Colorectal adenocarcinoma,Gastric cancer,Pancreatic adenocarcinoma,Liver fibrosis,Hepatocellular carcinoma,Osteoarthritis,Multiple myeloma,Prostate cancer,Osteosarcoma,Colorectal carcinoma,Muscle-invasive bladder cancer,Parkinson disease,Breast cancer,Pancreatic cancer,Colon cancer,Laryngeal cancer,Laryngeal squamous cell carcinoma,Glioblastoma,Glioma,Pancreatic ductal adenocarcinoma,Liver cancer,Lung squamous cell carcinoma,Non small cell lung cancer,Non small cell lung carcinoma,Ovarian carcinoma,Cervical cancer,Renal cell carcinoma,Clear cell renal cell carcinoma,Cholangiocarcinoma,Neuroblastoma,Acute myeloid leukemia,Nasopharyngeal carcinoma,Esophageal squamous cell cancer,Esophageal squamous cell carcinoma,Liver cirrhosis,Early hepatocellular carcinoma,Triple negative breast cancer,Bladder cancer,Atherosclerosis,Ovarian cancer,Papillary thyroid cancer,Papillary thyroid carcinoma,Gastric carcinoma,Nasopharyngeal cancer,Nk/T cell lymphoma,Ischemia,Esophagus adenocarcinoma,Retinoblastoma,Epithelial ovarian cancer,Renal cell cancer,Diffuse large B cell lymphoma,Oral squamous cell carcinoma,Lymphoma,Hemangioma,Myasthenia gravis,Pneumonia,Pediatric neuroblastoma,Leukemia lymphoblastic acute,Tongue squamous cell carcinoma,Melanoma,Nonalcoholic fatty liver disease,Epithelial ovarian carcinoma,Herpes simplex keratitis,Dysregulated immunity,Pre-eclampsia,Chronic obstructive pulmonary disease,Lung adenocarcinoma,T-cell acute lymphoblastic leukemia,Chronic myeloid leukemia,Ovarian clear cell carcinoma,Primary breast cancer,Wilms tumor,Colon and rectal adenocarcinoma,Uveal melanoma,Hypopharyngeal cancer,Cardiac hypertrophy,Hepatic carcinoma,Cancer,Tuberculosis,Prader-willi syndrome,Acute promyelocytic leukemia,Heart failure,Uterine leiomyoma,Adenocarcinoma,Lung carcinoma,Head and neck squamous cell carcinoma,Psoriatic arthritis,B-cell lymphoma,Prostate carcinoma,Prostatic neoplasms,Malignant glioma,Epstein-barr virus infections,Stomach cancer,Urinary bladder cancer,Colon carcinoma,Gallbladder cancer,Liposarcoma,Meningioma,Uterine cervical neoplasm,Renal carcinoma,Lung small cell carcinoma,Mouth neoplasms,Lymphosarcoma,Breast neoplasms
SNORD114-1,0.126042785,0.136899102,0.331861612,0.58397284,0.065262661,0.092311828,0.02187238,0.047855482,0.022653689,0.759903017,0.023640556,0.022698595,0.362317063,0.035519733,0.026698938,0.086420291,0.053746312,0.02709494,0.025881459,0.026716847,0.091460196,0.045308428,0.034474683,0.023729447,0.023371553,0.047477272,0.049544287,0.09256506,0.035821831,0.023417673,0.043133156,0.053152978,0.029368315,0.042617811,0.028653436,0.032795105,0.02356171,0.036040238,0.043326913,0.024803085,0.022715749,0.022604984,0.032585886,0.029254922,0.022071481,0.030861427,0.022582418,0.045054825,0.022150406,0.028216481,0.027633726,0.021549988,0.021890923,0.031397124,0.037641029,0.030387534,0.025842966,0.031908779,0.107516409,0.062666627,0.02397294,0.025914988,0.022539701,0.021772688,0.0221671,0.022970873,0.022534801,0.036280611,0.021516385,0.022784741,0.026786036,0.119146427,0.022122181,0.022009119,0.074054613,0.023191141,0.023817304,0.02183766,0.023202346,0.023468725,0.023108584,0.02663473,0.02742047,0.027041859,0.028807286,0.07055721,0.023632879,0.032947794,0.031550686,0.054277913,0.061051322,0.023672932,0.024116859,0.023054317,0.02263707,0.023746026,0.022603036,0.028300461,0.031513855,0.024496607,0.028170773,0.027729981,0.027952488,0.02805784,0.028104881,0.029038115,0.027676799,0.027567792,0.028182089,0.028220343,0.028351089,0.028088412
SNORD114-10,0.058729909,0.0762587,0.134213414,0.076615859,0.014041648,0.028829614,0.002362178,0.013891042,0.001608299,0.43051313,0.002631707,0.000618812,0.128022018,0.007055836,0.001975654,0.036967725,0.01806238,0.004377868,0.006303441,0.00608772,0.040789793,0.008959424,0.007536681,0.002987549,0.003858497,0.012030788,0.015917302,0.069201198,0.008737722,0.00382983,0.01256713,0.015008127,0.003243609,0.009583474,0.005453737,0.007463466,0.002913394,0.0048979,0.010931551,0.004908675,0.005373458,0.006306275,0.003305638,0.002528806,0.002246831,0.007182373,0.001813646,0.014148007,0.004444752,0.00492034,0.002781771,0.001853495,0.001765523,0.002190363,0.00321258,0.004228318,0.003773505,0.004050403,0.090847037,0.024839494,0.003699034,0.003096233,0.002480796,0.002539017,0.003138758,0.00320126,0.001844385,0.004872943,0.001642728,0.00132855,0.001492471,0.03670631,0.001759996,0.001773974,0.0562699,0.002392859,0.00258778,0.001827748,0.002464352,0.002212068,0.002280378,0.002456948,0.002715403,0.002038692,0.002609555,0.044889123,0.001247007,0.002176525,0.002130154,0.00690123,0.022561108,0.002174047,0.002288242,0.001782801,0.001346672,0.002090216,0.001554753,0.001522177,0.002480818,0.000641542,0.002056323,0.00193416,0.001579335,0.00176754,0.001561614,0.001712801,0.001723836,0.001679082,0.00172855,0.002059208,0.001402825,0.001378045
SNORD114-11,0.059246154,0.075971708,0.132466959,0.074184354,0.014316281,0.029041171,0.002463551,0.013567219,0.001651499,0.425529737,0.00266253,0.00062654,0.127163521,0.007121629,0.001999925,0.036935967,0.018450635,0.004533326,0.006503375,0.006323156,0.04087554,0.009165928,0.007777476,0.003097976,0.004017247,0.012304105,0.01630132,0.070474915,0.008993229,0.003986708,0.012908205,0.0152568,0.003334422,0.009807297,0.005645248,0.007700692,0.003023056,0.005017214,0.011008559,0.00510458,0.005565605,0.006579586,0.003269969,0.002558181,0.002337596,0.007434562,0.00188632,0.01436935,0.004623058,0.005091081,0.002849696,0.001934967,0.001840753,0.002219897,0.003245765,0.004348168,0.003905518,0.004159335,0.092484488,0.024769165,0.003806552,0.00319063,0.002560347,0.002640865,0.003256239,0.003300283,0.001900911,0.00497404,0.00171477,0.001371246,0.00145092,0.034058107,0.001827815,0.001842115,0.057303174,0.002457004,0.002670305,0.001901372,0.00254996,0.002288378,0.002362632,0.002529051,0.002790779,0.002090896,0.002675304,0.045438619,0.001218227,0.002171688,0.002132923,0.006765195,0.022247072,0.002203694,0.002314694,0.001829169,0.00137938,0.002122817,0.001596473,0.001522249,0.002510687,0.000562596,0.002091203,0.001969724,0.001601409,0.001795143,0.001581259,0.001732585,0.001752621,0.001707216,0.00175171,0.002095497,0.001392787,0.001392607
SNORD114-12,0.094122379,0.13982687,0.266232659,0.562060156,0.041405801,0.060547582,0.017594555,0.044755971,0.018573577,0.759405382,0.019959845,0.018466778,0.239326622,0.03047583,0.021675185,0.069675095,0.03212819,0.018857966,0.020083951,0.01870544,0.07261981,0.025504538,0.021382711,0.018209985,0.017715143,0.027306734,0.031261498,0.101083965,0.022570838,0.017729232,0.027980744,0.033747588,0.019650015,0.027846417,0.019422486,0.021065462,0.018194471,0.021668388,0.030594027,0.018149468,0.018363022,0.017475173,0.028212168,0.024007459,0.017822883,0.020186752,0.018264335,0.034072039,0.018092297,0.019274379,0.022545705,0.017271917,0.017600245,0.02676621,0.027031174,0.025451328,0.018777499,0.020277132,0.129146089,0.0558688,0.020113341,0.021693969,0.018428578,0.017628126,0.01814314,0.019018329,0.018447286,0.022183688,0.017249227,0.018568921,0.020507573,0.130519464,0.017919533,0.017815706,0.085629802,0.018918473,0.019185605,0.017600987,0.018304125,0.018744375,0.018121618,0.018740202,0.019203622,0.019378237,0.01934904,0.076197793,0.01981089,0.027280081,0.025201173,0.045904745,0.057284055,0.019829839,0.019762859,0.018990525,0.018546462,0.019888169,0.018511731,0.020179123,0.021048031,0.020652833,0.019972539,0.019714412,0.019563891,0.019764538,0.019925552,0.020915034,0.019610232,0.019493521,0.0198241,0.019971992,0.020778855,0.019763487
SNORD114-13,0.052601735,0.10345098,0.185428835,0.068510486,0.002172072,0.019871766,2.13751E-05,0.022776625,0.000655995,0.639780924,0.001998555,0.000232504,0.14593468,0.005380529,0.000896153,0.039579587,0.006114255,4.38507E-05,0.001556048,8.18177E-40,0.042371878,0.001051871,0.000323127,0.000246058,2.23904E-37,0.002831535,0.004623425,0.064671109,0.001050277,2.97479E-06,0.002233116,0.006291534,1.21343E-39,0.001175376,0.000120917,0.000630461,0.000227609,2.23226E-39,0.00790948,5.23503E-40,0.000761286,2.25049E-07,0.003575983,0.001076582,9.42939E-05,0.000203004,3.54165E-09,0.008464064,0.000727631,0.000111017,0.00033507,3.6157E-75,4.70676E-26,3.93984E-30,2.00171E-11,0.000376008,0.000267036,1.6156E-39,0.089009159,0.030182843,0.001499935,0.000631072,0.0006272,0.000423644,0.000796379,0.001114503,0.000608523,0.000541827,5.30688E-56,0.000272597,0.001394363,0.082324369,0.000268462,0.000281533,0.054430783,0.00088331,0.000705619,9.22398E-05,0.000396568,0.000228781,0.000216244,3.25416E-05,9.07679E-05,7.39656E-40,1.14027E-39,0.048085614,0.001585623,0.000936979,0.000779797,0.007424562,0.034349275,0.001498765,0.001478695,0.00074642,0.000592551,0.001452877,0.000606979,0.00062725,0.000407451,0.001691056,0.000265103,0.00021223,7.8201E-05,0.000119849,9.01726E-05,9.5279E-05,0.000109353,9.74374E-05,0.000189591,0.000253114,0.000680736,3.24038E-05
SNORD114-14,0.061523167,0.115714462,0.19410112,0.08499559,0.003274717,0.020986824,4.26338E-05,0.024166832,0.00088373,0.668039041,0.002550121,0.00030731,0.155438024,0.006079913,0.001265496,0.041580697,0.006457286,6.14884E-05,0.00202044,1.60804E-46,0.044190788,0.00139446,0.000453096,0.000335334,2.5569E-37,0.002963719,0.004994199,0.090683364,0.001345505,3.40173E-06,0.002472911,0.006720532,1.46798E-16,0.001470934,0.000169552,0.000674455,0.000320993,1.67284E-46,0.008470011,2.41832E-35,0.000870547,3.15569E-07,0.004063471,0.001588579,0.000124329,0.000284657,3.43866E-05,0.009191366,0.001022013,0.000155671,0.000545569,5.39436E-06,1.49468E-05,0.000281651,0.000207096,0.000749943,0.000373774,1.61492E-46,0.124810755,0.031565082,0.002056179,0.000995296,0.000805699,0.000594157,0.001110125,0.001489473,0.000824179,0.000591443,5.45954E-06,0.000404464,0.00160446,0.091432806,0.000390536,0.000398232,0.076324136,0.00115016,0.001001249,0.00011601,0.000534126,0.000323819,0.000286875,3.72618E-05,0.000110428,2.43696E-05,2.68039E-08,0.062308284,0.001927376,0.001524274,0.001212095,0.00828867,0.035968175,0.001944285,0.001857929,0.001019099,0.00079473,0.001937317,0.000810612,0.000677383,0.000554034,0.001965216,0.00034307,0.000283459,0.000100088,0.000153524,0.00012663,0.000162607,0.000140269,0.000123622,0.000245339,0.000338031,0.00088542,5.58023E-05
SNORD114-15,0.071944516,0.110214495,0.23662405,0.093177826,0.012982924,0.036094369,4.33413E-05,0.02677339,0.000787605,0.69716837,0.002556244,0.000388238,0.220037234,0.006409783,0.001652719,0.051364098,0.01612817,0.002106654,0.002922344,0.001935585,0.053542268,0.009448909,0.004933318,0.000973084,0.000720803,0.011370622,0.012341487,0.065550203,0.006128333,0.000747654,0.00832235,0.015281741,0.002870645,0.007574457,0.002706895,0.00454914,0.000853111,0.005280925,0.013866121,0.001238466,0.001364057,0.000442184,0.004205038,0.001983743,0.000173938,0.003545237,4.81226E-05,0.012875649,0.00070491,0.002549579,0.001044721,7.54918E-06,2.09174E-05,0.000399656,0.003484823,0.000932421,0.001767112,0.003822077,0.085929508,0.034162839,0.001678892,0.000763725,0.00083831,0.000409145,0.000787278,0.00130253,0.000718145,0.005726828,7.6404E-06,0.000334593,0.003478034,0.117536574,0.000279651,0.000303852,0.052547519,0.001255,0.001041065,0.000161856,0.00086458,0.00059635,0.000698406,0.001947502,0.002221322,0.001783931,0.002697601,0.048102712,0.002301639,0.002035965,0.00223111,0.010571933,0.037947761,0.001906057,0.002259897,0.000887858,0.000731988,0.001739252,0.000749701,0.002833242,0.003799833,0.002741139,0.002500319,0.002304192,0.002330827,0.002352687,0.002252011,0.002250046,0.002216763,0.002198202,0.002473358,0.002485138,0.002790757,0.00223048
SNORD114-17,0.077010603,0.116800869,0.245105625,0.092593387,0.018288422,0.041760765,0.005996768,0.033492294,0.006699056,0.71537967,0.008543127,0.006296557,0.225601868,0.012288858,0.007506657,0.058078667,0.021944608,0.007994304,0.008865743,0.007810322,0.059990507,0.015113872,0.01070647,0.006893275,0.006658539,0.01710169,0.018048167,0.068469177,0.011928275,0.006676959,0.014092811,0.021085487,0.008737403,0.013390936,0.00857234,0.010367662,0.006770909,0.011062097,0.01989227,0.007155606,0.007423957,0.006385909,0.010064146,0.007792491,0.006105957,0.009348543,0.005952211,0.018739283,0.006598964,0.008382125,0.006905906,0.005930871,0.005937055,0.00613984,0.009179893,0.006684666,0.007629009,0.009608328,0.087811104,0.040531583,0.007557671,0.006582003,0.006754954,0.006292539,0.006669683,0.007210254,0.006626417,0.011482275,0.005914432,0.006224819,0.009488785,0.130279181,0.006166459,0.006197187,0.056007,0.007179748,0.006908236,0.006085552,0.006768597,0.006497986,0.006606156,0.00780255,0.008075355,0.007619511,0.008516532,0.05275547,0.008325307,0.007759297,0.008007581,0.016241466,0.044620961,0.007855632,0.008238903,0.006791261,0.006642353,0.007654518,0.006667871,0.008721767,0.009606922,0.008819876,0.008366088,0.008167243,0.008191366,0.008215565,0.008111154,0.008093434,0.008084085,0.008065971,0.008335667,0.008342841,0.008675096,0.008085597
SNORD114-2,0.058798245,0.075310318,0.130999926,0.070920865,0.014151876,0.028751361,0.002455526,0.013428312,0.001642848,0.421180575,0.002651341,0.000618475,0.125808116,0.007037753,0.001973501,0.036617922,0.018334957,0.004513294,0.006480645,0.006300157,0.040520642,0.009102396,0.007736959,0.003086191,0.004005207,0.012221617,0.016190214,0.070130984,0.00894753,0.003974613,0.012821231,0.015138987,0.003312943,0.009730747,0.005620019,0.007661717,0.00301135,0.004980037,0.010924163,0.005087651,0.005551582,0.006563599,0.00320456,0.002517707,0.002329173,0.007401526,0.001875433,0.014253561,0.004611013,0.005067784,0.002813792,0.001929833,0.001833887,0.002158351,0.003181011,0.004291753,0.003888509,0.004131323,0.092042237,0.024530488,0.003788467,0.003159904,0.002550655,0.002634137,0.003247094,0.003287945,0.001892196,0.004934864,0.001710084,0.001361031,0.001436615,0.033721486,0.001820359,0.001835363,0.057031167,0.002446056,0.002655843,0.001895073,0.002539634,0.002275227,0.002352878,0.002514105,0.002772963,0.002072761,0.002656072,0.045171383,0.001209363,0.002111747,0.002084807,0.006591543,0.022018164,0.002191321,0.002302782,0.001818113,0.001371187,0.002109706,0.001588151,0.001503408,0.002484659,0.000551441,0.002071939,0.001951897,0.001584666,0.001776998,0.001562523,0.0017077,0.001735434,0.001690737,0.001733687,0.002076085,0.001372907,0.001374962
SNORD114-20,0.052472227,0.103304647,0.185443173,0.068523559,0.002158865,0.019874979,2.12369E-05,0.022765209,0.000651945,0.639872663,0.001987535,0.000231504,0.145894701,0.005375862,0.000890689,0.039575595,0.006112415,4.35291E-05,0.001546934,1.85086E-45,0.042379963,0.001045302,0.000320757,0.000244474,2.22782E-37,0.002831669,0.004622331,0.064196839,0.001044385,2.96392E-06,0.002232144,0.0062894,2.74499E-45,0.001171082,0.00012003,0.000630227,0.000226034,5.04976E-45,0.007904002,1.18425E-45,0.000758505,2.23399E-07,0.003573574,0.001069631,9.39494E-05,0.000201515,3.52871E-09,0.008460247,0.000722295,0.000110203,0.000333451,3.60249E-75,4.68957E-26,3.92545E-30,1.99439E-11,0.000373251,0.000265125,3.65477E-45,0.088356403,0.03018833,0.001490036,0.000626444,0.000623847,0.000420537,0.000790641,0.001107552,0.000604697,0.000541378,5.28749E-56,0.000270747,0.001389269,0.082127043,0.000266496,0.00027957,0.054031611,0.000878297,0.000700665,9.19028E-05,0.000394112,0.000227517,0.000215047,3.24227E-05,9.04362E-05,1.67323E-45,2.57948E-45,0.047840167,0.001578393,0.000930586,0.000774939,0.007425978,0.034350312,0.001490295,0.001471069,0.00074171,0.000588987,0.001443991,0.000603346,0.000626892,0.000404921,0.001684878,0.000263822,0.000211089,7.79152E-05,0.000119411,8.98432E-05,9.49309E-05,0.000108954,9.70814E-05,0.000188695,0.000251755,0.000677146,3.22854E-05
SNORD114-21,0.071967286,0.11013912,0.236710149,0.094068112,0.013052604,0.036161785,4.43213E-05,0.026797023,0.000789861,0.696832035,0.00256341,0.000391963,0.22020972,0.006420865,0.001662429,0.051397053,0.016171391,0.002115591,0.002930727,0.001944032,0.053548446,0.009486351,0.004952958,0.000976712,0.000723948,0.01140579,0.012375446,0.065458405,0.006152659,0.000750922,0.008355131,0.015325307,0.002883172,0.00761751,0.002718,0.004565585,0.000856229,0.00530397,0.013893685,0.001243871,0.00137132,0.000444112,0.004217873,0.001997189,0.000175897,0.003559521,5.04941E-05,0.012894856,0.000703843,0.002560056,0.00105751,7.92125E-06,2.19484E-05,0.000419106,0.003513049,0.000948293,0.001773529,0.003838756,0.085784444,0.034155382,0.001681626,0.000770311,0.000841741,0.000408462,0.000786312,0.001305004,0.000720013,0.005748876,8.01696E-06,0.000336827,0.00349624,0.118000457,0.000280207,0.000304404,0.052458809,0.001259241,0.001043653,0.000163383,0.000867586,0.000600487,0.00070168,0.001956059,0.002231589,0.001793248,0.002709374,0.048038433,0.002312289,0.002055703,0.002249317,0.010612495,0.037939133,0.001912053,0.002268406,0.000890586,0.000734507,0.001743521,0.000752177,0.002843792,0.003815911,0.00275799,0.002512173,0.00231481,0.002341803,0.002364196,0.002263472,0.002263402,0.002227582,0.00220873,0.002484952,0.00249666,0.002803694,0.002241448
SNORD114-22,0.063388948,0.107584761,0.200130302,0.543758264,0.023284468,0.038860294,0.004666367,0.025675428,0.004533687,0.665484188,0.005449566,0.004197377,0.157969654,0.016689361,0.007094159,0.049393478,0.016568172,0.005132873,0.007311248,0.00629136,0.053120607,0.00735653,0.006805199,0.00475921,0.005050965,0.01065236,0.017032614,0.065937814,0.007978793,0.005026696,0.014578025,0.017194858,0.004206979,0.01293266,0.005769711,0.007172927,0.004794574,0.004823495,0.013684598,0.005647152,0.006707271,0.006742921,0.013500892,0.009420931,0.004733515,0.006796902,0.004972397,0.020097808,0.005847143,0.005439227,0.009058416,0.004036311,0.004294904,0.013431607,0.010997768,0.012890642,0.005000164,0.004545732,0.08770413,0.039254892,0.006635097,0.008527284,0.005052478,0.0044354,0.004967472,0.005620282,0.004606704,0.005128378,0.003892932,0.004683413,0.004658624,0.081324408,0.004342133,0.004242256,0.055128039,0.005082364,0.005414162,0.004251815,0.004672775,0.005219603,0.004526337,0.003897937,0.004295341,0.004431523,0.00381349,0.050218155,0.00482423,0.012344658,0.010082876,0.029331763,0.037946717,0.005429035,0.005219888,0.004968157,0.004390931,0.005423738,0.00448057,0.003956883,0.004266574,0.005263808,0.00431243,0.004112883,0.003641027,0.003998907,0.004087886,0.005203751,0.003944714,0.003805259,0.003913513,0.00429029,0.004509362,0.003751779
SNORD114-23,0.053048716,0.104707491,0.194220838,0.536520662,0.015197403,0.02874862,0.000502118,0.022977426,0.00124029,0.651524031,0.002066042,0.001287862,0.148445747,0.012231894,0.003868662,0.040163028,0.006251728,4.3373E-05,0.001522285,2.83261E-67,0.043179348,0.001032032,0.000319607,0.000442172,2.15141E-37,0.002879481,0.007422567,0.063966652,0.001025591,2.86225E-06,0.005758123,0.008831741,5.05836E-15,0.005502468,0.0001196,0.000641065,0.000515735,7.72831E-67,0.007975933,8.33306E-34,0.000732488,2.22598E-07,0.010537929,0.006066675,0.000659342,0.000200792,0.001184761,0.01270758,0.000778709,0.000109808,0.004964738,0.000185879,0.000515038,0.009705159,0.007136129,0.008045584,0.000355752,5.59342E-67,0.088039589,0.033490949,0.002521318,0.004428062,0.001090285,0.000422927,0.000808995,0.001526696,0.001135279,0.000549955,0.000188125,0.001396842,0.001685357,0.080740874,0.000757909,0.000641393,0.053837873,0.001364138,0.001636473,0.000451669,0.000729049,0.001330407,0.00058947,3.30258E-05,0.000315892,0.00083973,9.23611E-07,0.047988482,0.00199046,0.009333326,0.006936464,0.026359211,0.034922215,0.002150172,0.001807453,0.001633751,0.001227236,0.002264207,0.001180082,0.001001301,0.000912753,0.002711068,0.000876015,0.000726579,0.000442683,0.000682983,0.000897074,0.001940469,0.000629715,0.000514132,0.000673689,0.000868632,0.001678485,0.000677194
SNORD114-25,0.052440595,0.103347783,0.185790049,0.068667776,0.002148589,0.019915615,2.11165E-05,0.022780604,0.000648236,0.641156762,0.001976142,0.000230158,0.146132704,0.005381379,0.000885617,0.039635074,0.006119078,4.32848E-05,0.001538101,7.77815E-46,0.042469158,0.00103936,0.000318957,0.000243088,2.21478E-37,0.00283679,0.00463,0.063836541,0.001038405,2.94656E-06,0.002234239,0.006295759,1.15357E-45,0.001164225,0.000119356,0.000631193,0.000224759,2.12214E-45,0.007908069,4.97677E-46,0.000754064,2.22145E-07,0.003577254,0.001063566,9.33993E-05,0.000200384,3.50805E-09,0.008471811,0.000718241,0.000109585,0.000331525,3.5814E-75,4.66211E-26,3.90247E-30,1.98272E-11,0.000371156,0.000263634,1.5359E-45,0.087860512,0.030251302,0.001481601,0.000622928,0.000620264,0.000418177,0.000786197,0.001101255,0.000601261,0.000541955,5.25654E-56,0.000269218,0.001381135,0.08186042,0.000265,0.000277994,0.053728364,0.000873271,0.000696718,9.13647E-05,0.000391871,0.000226213,0.000213814,3.22329E-05,8.99067E-05,7.03167E-46,1.08402E-45,0.047681626,0.001569246,0.000925332,0.000770533,0.007441607,0.034411225,0.001481765,0.001462601,0.000737497,0.00058563,0.00143577,0.000599906,0.000627226,0.000402619,0.001675013,0.000262298,0.000209877,7.74591E-05,0.000118712,8.93172E-05,9.43751E-05,0.000108316,9.6513E-05,0.000187603,0.00025031,0.000673254,3.20964E-05
SNORD114-26,0.052957877,0.10461296,0.194298438,0.539323474,0.015267881,0.028802566,0.000504936,0.022996472,0.001242409,0.651633049,0.002065606,0.001294801,0.148416208,0.012269126,0.003884752,0.040179757,0.006255967,4.31484E-05,0.001520067,1.78021E-74,0.043184492,0.001029512,0.000317952,0.000442665,2.16056E-37,0.002880245,0.007438113,0.063635465,0.001024743,2.87443E-06,0.005780332,0.008850736,5.08865E-15,0.005533453,0.00011898,0.000640894,0.000516549,4.857E-74,0.007981053,8.38296E-34,0.000735603,2.21445E-07,0.01057875,0.006093517,0.000663132,0.000199753,0.001191855,0.012730619,0.000775336,0.000109239,0.0049929,0.000186992,0.000518122,0.009763271,0.007178858,0.008089607,0.000355054,4.2503E-72,0.087583765,0.033511283,0.002522656,0.004447607,0.001093064,0.000420781,0.000805305,0.001526642,0.001136977,0.000549636,0.000189252,0.001402576,0.001693121,0.080970907,0.00075949,0.000642381,0.053559128,0.001366283,0.001639039,0.00045422,0.000730188,0.001336901,0.000591602,3.31693E-05,0.000317632,0.000844758,9.29142E-07,0.047816915,0.001996072,0.009380083,0.006971576,0.026472641,0.034932084,0.002152917,0.001810143,0.001637237,0.001230031,0.002266224,0.001182529,0.001004081,0.000914885,0.002724478,0.000880022,0.000729645,0.000445204,0.000686872,0.000902295,0.001951929,0.000633303,0.000517048,0.000676887,0.000872304,0.00168459,0.000681195
SNORD114-28,0.052461982,0.103352078,0.185700878,0.068625953,0.002153176,0.019904144,2.11727E-05,0.022784694,0.000650038,0.640800843,0.001982173,0.000230975,0.14606962,0.005380278,0.000888108,0.03962409,0.006118777,4.33845E-05,0.001542579,1.67072E-37,0.042443291,0.00104222,0.000319692,0.000243737,2.8454E-37,0.002835525,0.00462797,0.063983618,0.001041533,2.9578E-06,0.002234268,0.006295725,2.47783E-37,0.001168666,0.000119631,0.000630944,0.000225315,4.55829E-37,0.007909877,1.069E-37,0.00075694,2.22657E-07,0.003576759,0.0010664,9.37556E-05,0.000200846,3.52143E-09,0.008469243,0.000719896,0.000109837,0.000332629,3.59506E-75,4.67989E-26,3.91735E-30,1.99028E-11,0.000372011,0.000264261,3.29907E-37,0.08806294,0.030233188,0.001485462,0.000624364,0.0006222,0.000419141,0.00078805,0.001104289,0.000602905,0.000541836,5.27659E-56,0.000269899,0.001386403,0.082053363,0.000265612,0.000278676,0.053852153,0.000875879,0.000698413,9.17132E-05,0.000392958,0.000226902,0.000214465,3.23558E-05,9.02497E-05,1.51038E-37,2.32843E-37,0.047749889,0.00157465,0.000927658,0.000772658,0.007437075,0.034396555,0.001486204,0.001467279,0.000739507,0.000587297,0.001439797,0.000601621,0.000627389,0.000403732,0.001681402,0.000263172,0.00021053,7.77545E-05,0.000119165,8.96578E-05,9.47351E-05,0.000108729,9.68812E-05,0.000188236,0.000251088,0.000675375,3.22188E-05
SNORD114-29,0.052609565,0.103441681,0.185349233,0.068480792,0.002173953,0.019863174,2.13936E-05,0.022767327,0.000656482,0.639504737,0.001999495,0.000232497,0.145886316,0.005379447,0.000896789,0.039562852,0.006111714,4.39041E-05,0.001557,9.41066E-21,0.042353513,0.001052682,0.00032352,0.000246267,3.50449E-21,0.002830322,0.004621846,0.064749885,0.001050813,2.97391E-06,0.002232248,0.006288929,1.39568E-20,0.001175031,0.000121064,0.000630266,0.000227847,2.56754E-20,0.00790663,6.02132E-21,0.000761063,2.25323E-07,0.003574991,0.001077506,9.42662E-05,0.000203251,3.54061E-09,0.008461463,0.000728517,0.000111152,0.000335134,3.61464E-75,4.70538E-26,2.67242E-23,2.00112E-11,0.000376466,0.000267342,1.85826E-20,0.089117581,0.030169771,0.001501309,0.000631841,0.000627451,0.00042416,0.000797307,0.001115359,0.000609003,0.000541713,5.30533E-56,0.000272867,0.001393954,0.082296444,0.000268788,0.000281835,0.054497086,0.000883784,0.000706389,9.22127E-05,0.000396865,0.000228889,0.000216348,3.2532E-05,9.07412E-05,8.50752E-21,1.31153E-20,0.04812066,0.001585748,0.000937924,0.000780394,0.007421344,0.034334588,0.001499555,0.001479174,0.000747015,0.000592951,0.00145392,0.000607383,0.000626995,0.00040776,0.00169056,0.000265154,0.000212318,7.8178E-05,0.000119814,9.01462E-05,9.52511E-05,0.000109321,9.74088E-05,0.000189619,0.000253218,0.000680989,3.23943E-05
SNORD114-3,0.072159052,0.110313858,0.237735532,0.091765283,0.013077967,0.036342926,4.15533E-05,0.026867901,0.000783377,0.699331212,0.002555192,0.000385675,0.221359888,0.006400927,0.001646741,0.051613436,0.01628809,0.002137188,0.002934853,0.00196456,0.053797434,0.009568477,0.00499979,0.000981619,0.000731593,0.011503998,0.012452822,0.065055274,0.006199469,0.000758798,0.00840245,0.015416531,0.002913617,0.007651053,0.002744655,0.00460864,0.00085966,0.005359976,0.013965201,0.001257005,0.001372321,0.000448798,0.004189641,0.001969976,0.000172692,0.003593672,4.39587E-05,0.012935493,0.00069861,0.00258521,0.001035148,6.89589E-06,1.91073E-05,0.000365629,0.003507569,0.000906161,0.001787179,0.00387929,0.085184108,0.034273568,0.001667528,0.000745072,0.000836892,0.000405583,0.000780986,0.001297079,0.000713973,0.00580484,6.97922E-06,0.000329007,0.003506419,0.11806431,0.000275685,0.000300664,0.052091693,0.001254289,0.001037077,0.00016131,0.000867911,0.000596263,0.00070309,0.001976128,0.002252182,0.001807173,0.002737978,0.047866678,0.002306226,0.002011276,0.00222287,0.010556983,0.03806852,0.00190225,0.002264453,0.00088182,0.00072821,0.001731958,0.000746179,0.002865662,0.003846151,0.002750704,0.002530381,0.002332472,0.002362954,0.002383651,0.002280942,0.002274585,0.002246038,0.002227819,0.002504956,0.002514923,0.002815422,0.002260688
